Year,Period,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment
2014,01,"44,862","41,839","655,141","1,084","9,232,744,744","645,709","656,390","663,325"
2014,02,"44,951","41,930","680,404","1,068","9,447,321,625","673,468","681,956","685,787"
2014,03,"45,275","42,266","693,776","1,076","9,700,882,520","689,179","695,733","696,416"
2014,04,"45,555","42,573","701,429","1,234","11,253,217,281","702,327","700,937","701,023"
2015,01,"45,944","42,924","700,622","1,101","10,031,740,547","693,203","704,445","704,217"
2015,02,"46,366","43,345","711,803","1,093","10,116,585,742","705,529","711,379","718,501"
2015,03,"46,724","43,689","722,581","1,128","10,600,139,433","722,027","724,366","721,351"
2015,04,"46,838","43,775","722,017","1,290","12,111,040,370","727,165","720,642","718,244"
2016,01,"47,552","44,525","717,780","1,119","10,442,084,378","712,721","720,837","719,782"
2016,02,"47,924","44,880","732,370","1,120","10,660,724,364","731,213","731,417","734,481"
2016,03,"48,381","45,313","737,119","1,192","11,419,338,384","737,080","736,039","738,238"
2016,04,"48,598","45,523","732,941","1,275","12,150,826,584","740,055","731,998","726,770"
2017,01,"49,425","46,320","726,726","1,199","11,329,299,477","716,669","727,932","735,577"
2017,02,"49,803","46,652","742,199","1,164","11,229,158,186","734,447","742,659","749,490"
2017,03,"50,093","46,914","742,251","1,153","11,129,615,816","742,432","742,403","741,917"
2017,04,"50,697","47,420","750,494","1,307","12,748,834,117","750,749","751,606","749,128"
2018,01,"51,404","48,044","751,085","1,237","12,075,614,026","739,192","753,905","760,159"
2018,02,"51,861","48,423","771,313","1,203","12,066,325,351","764,268","770,518","779,154"
2018,03,"51,965","48,507","775,528","1,205","12,146,000,471","773,088","779,232","774,263"
